Algorithm: Kruskal's MST
506 46003 5057
3865 39925 5059
5252 5481 5060
9089 18360 5072
26915 4964 5086
29585 34130 5094
35687 10147 5102
45137 37580 5105
32079 26770 5106
5785 32600 5108
955 44650 5110
17613 24314 5111
46663 45560 5122
20530 3771 5127
9872 11463 5138
54 22009 5153
7431 39836 5154
11577 27568 5161
16965 17602 5171
32312 30101 5188
992 13580 5188
14370 4818 5197
6615 35563 5198
30547 34063 5210
35142 18962 5220
6012 46843 5221
18741 35460 5237
28005 14156 5237
6776 39620 5241
11701 7529 5243
11987 18653 5246
4592 12183 5253
3400 7340 5257
10083 2607 5262
14507 39475 5268
28433 24140 5283
10417 4335 5285
43170 42470 5290
25442 34073 5296
39964 33639 5305
32347 20368 5306
2535 15475 5307
17777 42496 5315
43418 15170 5315
44137 18359 5321
37865 6692 5321
1941 18047 5323
37033 14360 5323
38171 41418 5324
2722 45470 5325
2187 540 5327
34887 33008 5344
19778 9905 5359
42057 19530 5363
13876 23603 5379
41352 35948 5391
8130 28517 5394
1833 40290 5405
26101 11111 5411
30157 37745 5415
25348 4652 5429
25097 46566 5429
38450 23398 5431
21231 6343 5431
38779 46487 5442
12444 7979 5443
26671 21481 5447
16817 9314 5447
19713 12428 5451
7801 24344 5455
33878 11622 5457
27138 39377 5458
1087 7043 5459
7149 15396 5466
28875 42695 5475
19003 15505 5476
47770 41695 5477
53 156 5495
11043 16185 5504
37193 24978 5509
5614 29513 5514
43033 7195 5520
31185 16452 5534
4714 21216 5543
26326 4518 5543
26802 29318 5544
49122 22284 5548
11248 28657 5553
14039 38829 5555
12477 9076 5563
2583 20568 5568
37043 19214 5576
23690 33833 5585
11697 6216 5604
21472 47879 5617
11215 3529 5623
11759 40742 5624
37818 2875 5631
7839 32452 5634
24609 45096 5642
31922 17420 5653
40017 29836 5659
45402 15470 5659
16439 41171 5661
10265 21858 5667
2902 12280 5677
46085 7919 5691
1001 9133 5703
596 2802 5704
45159 5823 5705
18987 19044 5715
13029 2683 5717
44973 10095 5721
43830 12596 5722
2434 684 5734
7554 31243 5735
23951 44766 5747
36584 44302 5751
25973 5635 5754
46369 7024 5755
4248 32138 5762
7271 15088 5765
35578 17047 5766
17715 48546 5769
46922 22276 5773
44723 48903 5776
10179 9166 5791
19204 32212 5791
22008 1544 5808
5485 5181 5808
5586 26128 5813
43418 41703 5819
5378 17380 5819
22762 36785 5837
18449 15149 5838
13151 20314 5849
29234 40572 5863
28124 692 5868
48995 23704 5870
13826 9410 5874
34703 47255 5876
16513 8704 5876
17537 49910 5877
42651 34090 5880
41839 47878 5891
26302 31305 5897
19119 19024 5904
9205 43613 5907
42975 32192 5919
46914 29902 5924
20888 39090 5930
44314 23391 5930
12211 40015 5939
47612 29576 5945
32453 34662 5945
19871 8867 5954
1982 47537 5954
24956 49834 5956
43555 44205 5960
6659 40470 5964
37466 33637 5965
6472 20754 5965
7502 1401 5970
38600 44515 5982
2742 22281 5983
21586 45238 5983
49890 41011 5988
39583 12255 5988
28079 5046 5993
27187 30683 5994
26596 5669 6009
38907 16070 6010
14356 12873 6010
14978 43561 6011
18437 34000 6019
27061 42956 6019
45434 27689 6023
14249 23107 6025
24899 284 6029
14799 30999 6043
31770 35832 6048
2108 13067 6049
15638 46166 6060
27850 9377 6069
39422 5762 6087
15355 4673 6090
43671 29125 6093
23356 9364 6102
25914 12459 6106
47814 29668 6109
32254 49270 6110
27552 13164 6111
26674 13653 6121
1472 2 6158
8522 16125 6165
28316 8641 6168
13508 19080 6180
2192 35713 6185
3406 45174 6213
8386 14987 6219
11142 43327 6249
38902 9360 6250
27352 2929 6254
11453 16426 6259
9732 27534 6267
40881 31705 6269
28695 30336 6270
30691 19748 6276
2737 8879 6288
3120 2395 6289
43549 44908 6297
23950 41293 6298
29382 49618 6301
39988 6938 6305
37301 47296 6317
28556 28126 6325
30808 37705 6334
7533 3414 6352
12984 807 6388
21350 11965 6390
14425 25401 6391
6643 6575 6395
39683 21960 6412
33859 24448 6421
24333 40832 6423
48416 14635 6432
16761 14855 6438
6146 37118 6439
27286 18387 6441
43648 33634 6443
32273 4438 6453
20793 10172 6462
9618 7847 6474
8847 464 6478
43615 32044 6480
22045 26714 6481
11424 10061 6491
46130 37469 6494
45172 34372 6502
33161 43387 6509
10505 38798 6521
44325 16850 6540
42239 15731 6543
11741 689 6545
2510 9742 6545
16912 13965 6551
35201 37667 6553
44030 16178 6553
16774 35241 6559
38869 8996 6559
1775 9095 6563
43547 29355 6569
39777 12192 6570
33109 47472 6595
36683 31737 6596
14565 4868 6603
39009 189 6606
43505 40486 6617
26752 11062 6621
11447 2906 6627
5704 20403 6632
45020 21908 6634
40653 41809 6641
5021 26559 6645
26037 6139 6650
5220 32009 6661
29069 478 6663
23218 28513 6669
27527 34374 6670
39734 28056 6675
21892 12757 6680
4365 31878 6682
16647 25092 6693
114 450 6700
21015 24333 6706
18372 23190 6723
21692 15334 6733
25955 19240 6739
33725 11703 6739
19651 45142 6756
10017 8150 6763
32280 28601 6771
38183 16694 6772
44373 3955 6783
6657 40610 6788
15677 12501 6788
16665 35783 6792
3777 43251 6805
45391 5157 6813
40843 39012 6814
76 46321 6818
44503 19190 6826
9589 33195 6826
20951 46751 6831
5191 5803 6835
46060 24433 6843
45178 4683 6847
13051 93 6849
18126 1936 6868
5006 3060 6870
34745 26859 6873
670 17271 6877
46590 49113 6880
3697 12364 6880
32605 11821 6883
34645 34380 6888
4695 1124 6905
19907 44249 6905
42558 17004 6915
19403 25661 6920
24166 20019 6955
4345 21095 6960
21616 23321 6960
34437 33436 6963
12058 20802 6970
13264 9395 6973
12852 47331 6995
11292 10778 6998
15209 16138 7002
4189 21343 7005
12254 36244 7012
48420 28884 7026
4548 13449 7032
1288 18823 7037
40339 32721 7037
46009 47251 7038
3839 31173 7044
24142 43998 7046
32912 23967 7047
34081 33308 7050
9002 24159 7063
7723 48882 7069
6045 11777 7076
13324 37076 7085
43637 19361 7104
2048 11882 7104
10317 18714 7111
3516 47189 7115
4548 11516 7128
14601 28650 7133
48099 6596 7135
39247 779 7139
49699 45452 7140
14493 38312 7144
4377 40540 7149
44278 2560 7160
166 48311 7165
47197 43784 7170
40242 17067 7178
12522 34788 7179
6609 6259 7191
22488 27625 7192
22045 1300 7205
26576 6507 7207
24001 26925 7231
17968 6898 7241
49739 12726 7241
41338 43732 7247
10705 19686 7250
19506 20018 7251
16282 16257 7253
28891 20004 7259
49316 40806 7264
8711 15402 7264
10358 35767 7278
47021 39734 7285
28618 1545 7286
37959 47783 7291
34171 31719 7291
2115 7345 7299
34281 18686 7302
46500 4071 7325
34022 3523 7326
362 2621 7326
24267 1170 7329
21629 41496 7329
43393 28782 7330
9497 2358 7335
10760 48465 7337
7693 1106 7343
31457 23401 7349
49768 31717 7363
17241 4933 7378
48131 35027 7381
35245 23220 7407
22407 8687 7408
7799 21206 7411
44313 11951 7420
5936 193 7421
31350 45972 7423
1344 14250 7434
49202 23264 7436
557 826 7443
17786 25944 7448
13064 19756 7451
238 25540 7451
21497 21267 7451
29687 11563 7454
17427 3478 7455
48110 23749 7455
37901 27211 7481
33932 33741 7489
18527 39298 7492
1759 42425 7504
25629 10953 7504
2910 36984 7505
14975 36832 7506
35692 10402 7507
30707 5002 7511
41708 12784 7517
3953 6892 7525
17375 39969 7543
14704 19412 7546
46974 38245 7554
44678 40979 7557
24329 14896 7559
34336 7140 7561
21074 7209 7567
39869 22417 7591
13716 6157 7597
42377 30973 7599
27068 36191 7606
8533 3838 7612
9429 8802 7612
18962 23401 7613
37978 20143 7614
24037 48270 7624
22727 23449 7626
22115 49662 7630
49279 13132 7639
13915 7609 7639
12292 39382 7648
43233 17807 7654
7724 15532 7661
1681 16116 7666
26709 36987 7666
38332 22805 7682
3809 35162 7698
33488 21479 7702
3922 19088 7706
41109 44658 7716
11435 30763 7717
4144 1102 7719
29287 8459 7724
13463 22917 7725
9789 20878 7729
25278 41893 7732
18167 17941 7750
16285 43530 7753
41476 31153 7757
13550 39607 7762
45191 9159 7764
28170 34172 7767
44037 5177 7770
796 1563 7774
45717 26976 7775
45500 12245 7776
7308 735 7785
26446 25958 7800
7020 15139 7801
14244 15455 7808
18256 2320 7815
39530 1969 7820
44494 43460 7823
19406 47982 7828
9439 19665 7828
40271 26079 7836
25976 29206 7836
15213 41174 7844
37223 12470 7846
33280 13064 7851
5498 5896 7851
35524 17356 7858
13709 49663 7868
9579 48164 7869
38338 12673 7871
10705 34292 7874
4879 14860 7884
29614 21007 7891
46046 7297 7898
9489 39034 7913
10962 21468 7919
2871 4469 7924
43258 11250 7937
35770 24626 7939
11627 28042 7971
12048 18580 7974
24327 37936 7974
9759 40925 7992
6608 15712 8016
48856 25464 8022
16871 7630 8026
17029 34177 8029
9374 36650 8030
27867 323 8031
30996 7278 8032
22480 14547 8032
44780 14300 8036
10499 28115 8040
5622 30392 8042
6725 5256 8047
35978 41704 8049
34603 42607 8052
29528 43516 8061
33159 5174 8072
9102 34663 8102
4721 48967 8110
6833 36449 8112
6598 14632 8116
48467 28185 8129
42867 8939 8133
39475 6654 8138
37142 32498 8139
7534 8252 8141
15861 45772 8153
13088 11560 8197
273 86 8197
35757 48913 8199
29575 32084 8208
48378 22804 8212
28192 19448 8214
32020 23993 8222
41978 16071 8223
12188 27970 8223
40610 30560 8227
11260 21635 8231
48325 44028 8232
21341 13996 8233
16292 47408 8234
38634 8371 8237
42807 7912 8241
43399 29375 8249
29845 20099 8256
42131 13291 8258
24235 24150 8265
31333 35573 8268
4621 8493 8278
15330 43563 8285
43042 1842 8289
10424 15869 8293
44918 23780 8299
43410 8403 8306
25039 6906 8308
30040 40046 8316
24455 18804 8323
21785 35303 8345
2312 40021 8346
34322 45303 8346
30553 3962 8353
10626 16595 8365
40249 47966 8370
10492 10915 8374
1802 1711 8374
40897 9924 8381
26185 14905 8389
44992 35793 8405
33976 10037 8409
30566 29749 8420
9111 39106 8427
5412 19463 8428
2934 725 8435
21275 1146 8446
6646 30600 8449
26115 33376 8451
18501 575 8453
584 127 8453
10161 6119 8456
8518 19803 8476
7345 9638 8486
23510 1286 8486
37003 28137 8488
46666 16745 8494
21 26 8495
23080 10601 8505
7077 13279 8509
28968 26741 8514
26497 43004 8516
3363 25346 8517
44457 6775 8522
37247 18666 8524
18579 7584 8547
11900 21811 8547
18289 37703 8547
6169 38954 8550
18945 12939 8552
13104 24175 8556
11138 7655 8567
48020 45026 8569
17628 30594 8573
41457 2788 8578
30611 18366 8579
48722 44472 8582
22692 35004 8584
41223 32768 8586
4965 48398 8597
35753 42360 8597
27007 7593 8603
48156 34666 8604
13282 31408 8605
590 956 8612
37175 9273 8613
23070 40950 8614
35528 14079 8629
8293 7527 8636
28477 14842 8638
43840 10896 8655
44701 19374 8675
33289 48313 8684
35666 34295 8687
33597 39023 8720
41535 46497 8727
21074 42536 8738
14413 18901 8744
5812 25937 8753
16263 2332 8790
40333 8567 8804
1130 5656 8808
24780 1951 8813
39663 47894 8823
45942 26790 8832
596 37032 8837
16502 13368 8865
28051 88 8879
29210 40058 8883
21800 45399 8899
13448 1078 8900
4191 3113 8912
22886 11270 8930
1717 2293 8943
45572 1890 8947
6493 12572 8948
40017 49234 8949
14296 31216 8957
39248 9192 8963
44344 8614 8966
7996 22904 8979
6200 27405 8986
6015 36668 8995
19428 28098 8999
29255 8296 9003
15135 29820 9020
28159 17293 9021
24679 40087 9029
25486 6535 9029
20875 10907 9033
43193 35155 9038
2599 6785 9041
13908 8149 9042
30755 12969 9051
20497 47526 9054
17307 6412 9064
36938 31458 9066
35607 42857 9068
37013 527 9071
20891 5393 9076
19729 16700 9086
15376 30357 9088
46742 27317 9090
26299 9960 9094
40109 25050 9099
22453 21740 9101
44358 18758 9105
17753 1732 9107
28427 21311 9137
28524 24251 9139
19777 21758 9141
39476 41695 9143
18746 44846 9145
7473 25963 9152
2178 12702 9166
18329 32684 9178
41792 47170 9178
10438 20416 9183
12779 46950 9220
48920 8287 9232
12240 12025 9242
5804 8275 9245
8513 19589 9250
30269 27044 9252
21390 15638 9258
24660 5107 9261
47657 4920 9266
23604 5217 9282
13638 45951 9323
3111 5951 9327
29710 32255 9332
24602 20468 9333
2619 4672 9344
27637 45012 9348
26257 2877 9355
31919 30188 9363
34755 24684 9368
2342 6235 9370
43526 27910 9371
22161 19510 9373
27922 22671 9374
30304 21591 9390
49412 35921 9395
43020 17659 9396
25808 9009 9407
34279 4013 9412
48121 31908 9425
4292 47271 9426
2297 1829 9428
22642 11542 9429
8492 4168 9442
9206 47448 9443
37418 42314 9443
16452 4110 9446
20803 30574 9449
38501 40148 9451
31215 33775 9457
14223 35668 9466
7345 24321 9494
14630 49629 9498
34456 37106 9501
24590 25183 9511
13651 23159 9515
3629 34016 9522
44292 29424 9525
1968 5192 9526
17575 46584 9528
39997 28274 9528
42934 7904 9541
37691 36886 9541
16700 47075 9551
28469 25707 9564
49581 12599 9573
11365 32049 9592
31422 2224 9598
1254 9008 9601
6390 6841 9607
49322 10381 9610
21765 37309 9618
2292 9082 9618
40056 4397 9618
26363 26297 9635
26150 18524 9635
4559 37301 9643
19529 30843 9645
25227 46101 9650
44272 38598 9655
5175 24917 9659
38107 5318 9682
36104 49386 9686
28563 9669 9689
19006 262 9691
1385 1755 9702
5244 8769 9704
7358 10514 9710
6037 9625 9710
3672 44232 9715
16868 30270 9722
7049 7856 9725
8266 9746 9734
2307 16607 9749
20578 45498 9752
35006 24000 9755
37119 9518 9759
9245 14001 9765
25939 20819 9775
2704 11642 9775
28770 45834 9786
2278 13682 9791
15436 14925 9804
2426 23365 9804
11111 33942 9812
5171 46964 9828
18433 41463 9829
4497 20649 9830
1100 33791 9833
9110 20287 9846
46371 919 9851
17031 12446 9866
32022 38390 9874
4868 10301 9877
46218 18078 9879
4050 9747 9883
11686 41257 9892
45116 47586 9904
32938 77 9914
28658 28187 9923
19251 1272 9925
20948 23534 9932
8383 22751 9934
29730 22516 9959
29440 4878 9965
6978 28675 9973
20309 33775 9976
14063 17674 9976
47231 40130 9980
29526 8544 9981
24464 31339 9981
32901 11329 9986
33961 3226 9989
42650 29447 9989
43571 2066 9997
9392 17073 9998
1226 48539 10003
1531 253 10009
1061 37535 10023
31837 4627 10023
3231 1836 10031
32150 23394 10032
10067 45689 10033
45461 23364 10033
30119 407 10034
365 38063 10040
42908 30071 10042
30108 32116 10049
25661 40369 10058
22386 20049 10062
37611 42601 10084
34110 26465 10087
4617 46727 10092
5617 6797 10099
36303 46272 10105
24672 10343 10120
17060 9298 10120
7835 22553 10131
45211 29077 10137
10523 20247 10138
27 159 10142
39729 15580 10174
2271 11405 10178
1559 14813 10182
15309 28360 10184
6131 3577 10187
25133 7643 10188
43016 47427 10190
25902 6660 10195
10922 21018 10209
3682 8800 10226
7850 10082 10244
8334 27010 10244
21840 19213 10253
12398 29551 10265
18593 6060 10271
34121 30685 10275
20573 9148 10286
22099 40871 10287
21107 6357 10292
46622 15851 10300
27228 21160 10303
42541 33204 10313
15331 37156 10316
32221 1485 10330
15187 43478 10349
7130 49089 10353
44934 34620 10354
8734 10282 10359
10485 39505 10377
12860 5898 10406
23986 22677 10409
17347 9514 10410
28587 16471 10420
49992 36867 10430
34896 43591 10438
12560 8725 10445
